Season,Name,Age,Hometown,Profession,Finish,Ethnicity,Gender,Lgbt,Has Disability,State,Country
29,Jaclyn Schultz,25,"Wyandotte, MI",Media Buyer,2,White,F,False,False,MI,USA
29,Natalie Anderson,28,"Edgewater, NJ",Crossfit Coach/Physical Therapy Student,1,Asian-American,F,False,False,NJ,USA
30,So Kim,31,"Long Beach, CA",Retail Buyer,18,Asian-American,F,False,False,CA,USA
30,Vince S.,32,"Santa Monica, CA",Coconut Vendor,17,White,M,False,False,CA,USA
30,Nina Poersch,51,"Palmdale, CA",Hearing Advocate,16,Asian-American,F,False,True,CA,USA
30,Lindsey Cascaddan,24,"College Park, FL",Hairdresser,15,White,F,False,False,FL,USA
30,Max Dawson,37,"Topanga, CA",Media Consultant,14,White,M,False,False,CA,USA
30,Joaquin Souberbielle,27,"Valley Stream, NY",Marketing Director,13,Latin American,M,False,False,NY,USA
30,Kelly Remington,44,"Grand Island, NY",State Trooper,12,White,F,True,False,NY,USA
30,Hali Ford,25,"San Francisco, CA",Law Student,11,White,F,False,False,CA,USA
30,Joe Anglim,25,"Scottsdale, AZ",Jewelry Designer,10,White,M,False,False,AZ,USA
30,Jenn Brown,22,"Long Beach, CA",Sailing Instructor,9,White,F,False,False,CA,USA
30,Shirin Oskooi,31,"San Francisco, CA",Yahoo! Executive,8,Asian-American,F,False,False,CA,USA
30,Tyler Fredrickson,33,"Los Angeles, CA",Ex-Talent Agent Assistant,7,White,M,False,False,CA,USA
30,Dan Foley,47,"Gorham, ME",Postal Worker,6,White,M,False,False,ME,USA
30,Sierra Dawn Thomas,27,"Roy, UT",Barrel Racer,5,White,F,False,False,UT,USA
30,Rodney Lavoie Jr.,24,"Boston, MA",General Contractor,4,White,M,False,False,MA,USA
30,Will Sims II,41,"Sherman Oaks, CA",YouTube Sensation,2,African-American,M,False,False,CA,USA
30,Carolyn Rivera,52,"Tampa, FL",Corporate Executive,2,White,F,False,False,FL,USA
30,Mike Holloway,38,"North Richland Hills, TX",Oil Driller,1,White,M,False,False,TX,USA
31,Vytas Baskauskas,35,"Santa Monica, CA",Yoga Instructor/Math Professor,20,White,M,False,False,CA,USA
31,Shirin Oskooi,32,"San Francisco, CA",Yahoo! Executive,19,Asian-American,F,False,False,CA,USA
31,Peih-Gee Law,37,"San Francisco, CA",Jeweler,18,Asian-American,F,False,False,CA,USA
31,Jeff Varner,49,"Greensboro, NC",Internet Projects Manager,17,White,M,True,False,NC,USA
31,Monica Padilla,30,"Queens, NY",Law Student,16,Latin American,F,False,False,NY,USA
31,Terry Deitz,55,"Simsbury, CT",Pilot,15,White,M,False,False,CT,USA
31,Woo Hwang,31,"Newport Beach, CA",Martial Arts Instructor,14,Asian-American,M,False,False,CA,USA
31,Kass McQuillen,42,"Tehachapi, CA",Attorney,13,White,F,False,False,CA,USA
31,Andrew Savage,51,"San Jose, CA",Attorney,12,White,M,False,False,CA,USA
31,Kelly Wiglesworth,37,"Greensboro, NC",River Guide,11,White,F,False,False,NC,USA
31,Ciera Eastin,26,"Salem, OR",Cosmetology Student,10,White,F,False,False,OR,USA
31,Stephen Fishbach,36,"New York, NY",Corporate Consultant,9,White,M,False,False,NY,USA
31,Joe Anglim,25,"Scottsdale, AZ",Jewelry Designer,8,White,M,False,False,AZ,USA
