Season,Name,Age,Hometown,Profession,Finish,Ethnicity,Gender,Lgbt,Has Disability,State,Country
40,Natalie Anderson,33,"Edgewater, NJ",CrossFit Trainer,2,Asian-American,F,False,False,NJ,USA
40,Tony Vlachos,45,"Allendale, NJ",Police Officer,1,White,M,False,False,NJ,USA
41,Eric Abraham,51,"San Antonio, TX",Cyber Security Analyst,18,African-American,M,False,False,TX,USA
41,Sara Wilson,24,"Boston, MA",Healthcare Consultant,17,White,F,False,False,MA,USA
41,David Voce,35,"Chicago, IL",Neurosurgeon,16,White,M,False,False,IL,USA
41,Brad Reese,50,"Shawnee, WY",Rancher,15,White,M,False,False,WY,USA
41,Jaison Robinson,20,"Oklahoma City, OK",College Student,14,African-American,M,False,False,OK,USA
41,Genie Chen,46,"Portland, OR",Grocery Clerk,13,Asian-American,F,True,False,OR,USA
41,Sydney Segal,26,"Brooklyn, NY",Law Student,12,White,F,False,False,NY,USA
41,Tiffany Seely,47,"Plainview, NY",Teacher,11,White,F,False,False,NY,USA
41,Naseer Muttalif,37,"Morgan Hill, CA",Sales Manager,10,Asian-American,M,False,False,CA,USA
41,Evvie Jagoda,28,"Arlington, MA",PhD Student,9,White,N,True,False,MA,USA
41,Shan Smith,34,"Washington, DC",Pastor,8,African-Canadian,F,False,False,DC,USA
41,Liana Wallace,20,"Washington, DC",College Student,7,African-American,F,False,False,DC,USA
41,Danny McCray,33,"Frisco, TX",Ex-NFL Player,6,African-American,M,False,False,TX,USA
41,Ricard Foyé,31,"Sedro-Woolley, WA",Flight Attendant,5,Latin American,M,True,True,WA,USA
41,Heather Aldret,52,"Charleston, SC",Stay-at-Home Mom,4,White,F,False,False,SC,USA
41,Xander Hastings,21,"Chicago, IL",App Developer,2,White,M,False,False,IL,USA
41,Deshawn Radden,26,"Miami, FL",Medical Student,2,African-American,M,True,False,FL,USA
41,Erika Casupanan,32,"Toronto, ON (Canada)",Communications Manager,1,Asian-Canadian,F,True,False,ON,Canada
42,Jackson Fox,48,"Houston, TX",Healthcare Worker,18,White,M,True,False,TX,USA
42,Zach Wurtenberger,22,"St. Louis, MO",Student,17,White,M,False,False,MO,USA
42,Marya Sherron,47,"Noblesville, IN",Stay-at-Home Mom,16,African-American,F,False,True,IN,USA
42,Jenny Kim,43,"Brooklyn, NY",Creative Director,15,Asian-American,F,False,False,NY,USA
42,Swati Goel,19,"Palo Alto, CA",Ivy League Student,14,Asian-American,F,False,False,CA,USA
42,Daniel Strunk,30,"New Haven, CT",Law Clerk,13,White,M,False,False,CT,USA
42,Lydia Meredith,22,"Santa Monica, CA",Waitress,12,White,F,True,False,CA,USA
42,Chanelle Howell,29,"New York, NY",Executive Recruiter,11,African-American,F,True,False,NY,USA
42,Rocksroy Bailey,44,"Las Vegas, NV",Stay-at-Home Dad,10,African-American,M,False,False,NV,USA
42,Tori Meehan,25,"Rogers, AR",Therapist,9,White,F,False,False,AR,USA
42,Hai Giang,29,"New Orleans, LA",Data Scientist,8,Asian-American,M,True,False,LA,USA
42,Drea Wheeler,35,"Montreal, QC (Canada)",Fitness Consultant,7,African-American,F,False,True,QC,Canada
42,Omar Zaheer,31,"Whitby, ON (Canada)",Veterinarian,6,Asian-Canadian,M,False,False,ON,Canada
42,Lindsay Dolashewich,31,"Asbury Park, NJ",Dietitian,5,White,F,False,False,NJ,USA
42,Jonathan Young,29,"Gulf Shores, AL",Beach Service Company Owner,4,White,M,False,False,AL,USA
42,Romeo Escobar,37,"Norwalk, CA",Pageant Coach,2,Latin American,M,True,False,CA,USA
42,Mike Turner,58,"Hoboken, NJ",Retired Firefighter,2,Latin American,M,False,False,NJ,USA
42,Maryanne Oketch,24,"Ajax, ON (Canada)",Seminary Student,1,African-Canadian,F,False,False,ON,Canada
43,Morriah Young,28,"Philadelphia, PA",Teacher,18,African-American,F,False,False,PA,USA
43,Justine Brennan,29,"Marina del Ray, CA",Cyber Security Saleswoman,17,Asian-American,F,False,False,CA,USA
43,Nneka Ejere,43,"Weatherford, TX",Pharmacist,16,African-American,F,False,False,TX,USA
43,Lindsay Carmine,42,"Downingtown, PA",Pediatric Nurse,15,White,F,False,False,PA,USA
43,Geo Bustamante,35,"Honolulu, HI",Project Manager,14,Latin American,M,True,False,HI,USA
43,Elie Scott,31,"Salt Lake City, UT",Clinical Psychologist,13,Latin American,F,False,False,UT,USA
43,Dwight Moore,22,"Collierville, TN",Graduate Student,12,African-American,M,False,False,TN,USA
43,Jeanine Zheng,24,"San Francisco, CA",UX Designer,11,Asian-American,F,False,False,CA,USA
43,James Jones,37,"Philadelphia, PA",Event Planner,10,African-American,M,False,False,PA,USA
43,Ryan Medrano,24,"El Paso, TX",Warehouse Associate,9,Latin American,M,False,True,TX,USA
43,Noelle Lambert,25,"Manchester, NH",Paralympian,8,White,F,False,True,NH,USA
43,Sami Layadi,19,"Las Vegas, NV",Pet Cremator,7,African-American,M,False,False,NV,USA
43,Cody Assenmacher,35,"Honolulu, HI",Elevator Salesman,6,White,M,False,False,HI,USA
43,Karla Cruz Godoy,28,"Newark, DE",Educational Project Manager,5,Latin American,F,True,False,DE,USA
43,Jesse Lopez,30,"Durham, NC",Political Science PhD,4,Latin American,M,False,False,NC,USA
43,Owen Knight,29,"New Orleans, LA",College Admissions Director,2,Asian-American,M,False,False,LA,USA
43,Cassidy Clark,26,"Austin, TX",Designer,2,White,F,True,False,TX,USA
43,Mike Gabler,52,"Meridian, ID",Heart Valve Specialist,1,White,M,False,False,ID,USA
44,Bruce Perreault,46,"West Warwick, RI",Insurance Agent,18,African-American,M,False,False,RI,USA
44,Maddy Pomilla,28,"Huntingtown, MD",Charity Projects Manager,17,Latin American,F,False,False,MD,USA
44,Helen Li,29,"San Francisco, CA",Product Manager,16,Asian-American,F,False,False,CA,USA
44,Claire Rafson,25,"Highland Park, IL",Tech Investor,15,African-American,F,True,False,IL,USA
44,Sarah Wade,27,"Rochester, MN",Management Consultant,14,White,F,False,False,MN,USA
44,Matthew Grinstead-Mayle,43,"Pickerington, OH",Barbershop Owner,13,White,M,True,False,OH,USA
44,Josh Wilder,34,"Cincinnati, OH",Surgical Podiatrist,12,African-American,M,True,False,OH,USA
44,Matt Blankinship,27,"Albany, CA",Security Software Engineer,11,Asian-American,M,False,False,CA,USA
44,Brandon Cottom,30,"Newtown, PA",Security Specialist,10,African-American,M,False,False,PA,USA
44,Kane Fritzler,25,"Moose Jaw, SK (Canada)",Law Student,9,White,M,False,False,SK,Canada
44,Frannie Marin,23,"St. Paul, MN",Research Coordinator,8,White,F,True,False,MN,USA
44,Danny Massa,32,"Bronx, NY",Firefighter,7,White,M,False,False,NY,USA
44,Jaime Lynn Ruiz,35,"Mesa, AZ",Yogi,6,Latin American,F,False,False,AZ,USA
44,Lauren Harpe,31,"Port Arthur, TX",Elementary School Teacher,5,African-American,F,False,False,TX,USA
44,Carson Garrett,20,"Atlanta, GA",NASA Engineering Student,4,White,M,False,False,GA,USA
44,Carolyn Wiger,35,"North St. Paul, MN",Drug Counselor,2,White,F,True,False,MN,USA
44,Heidi Lagares-Greenblatt,43,"Pittsburgh, PA",Engineering Manager,2,Latin American,F,False,False,PA,USA
44,Yam Yam Arocho,36,"Bayamón, Puerto Rico",Salon Owner,1,Latin American,M,True,False,Puerto Rico,USA
45,Hannah Rose,33,"Baltimore, MD",Therapist,18,White,F,False,False,MD,USA
45,Brandon Donlon,26,"Sicklerville, NJ",Content Producer,17,White,M,False,False,NJ,USA
45,Sabiyah Broderick,28,"Jacksonville, NC",Truck Driver,16,African-American,F,True,False,NC,USA
45,Sean Edwards,35,"Provo, UT",School Principal,15,Asian-American,M,True,False,UT,USA
45,Brando Meyer,23,"Seattle, WA",Software Developer,14,Asian-American,M,False,False,WA,USA
45,J. Maya,24,"Los Angeles, CA",Singer,13,Asian-American,F,False,False,CA,USA
45,Sifu Alsup,30,"O'Fallon, IL",Gym Owner,12,African-American,M,False,False,IL,USA
45,Kaleb Gebrewold,29,"Vancouver, BC (Canada)",Software Sales,11,African-Canadian,M,False,False,BC,Canada
45,Kellie Nalbandian,29,"New York, NY",Critical Care Nurse,10,White,F,True,False,NY,USA
45,Kendra McQuarrie,31,"Steamboat Springs, CO",Bartender,9,White,F,False,False,CO,USA
45,Bruce Perreault,47,"West Warwick, RI",Insurance Agent,8,African-American,M,False,False,RI,USA
45,Emily Flippen,28,"Laurel, MD",Investment Analyst,7,White,F,False,False,MD,USA
45,Drew Basile,23,"Philadelphia, PA",Grad Student,6,White,M,False,False,PA,USA
45,Julie Alley,49,"Brentwood, TN",Estate Attorney,5,White,F,False,False,TN,USA
45,Katurah Topps,35,"Brooklyn, NY",Civil Rights Attorney,4,African-American,F,True,False,NY,USA
45,Jake O'Kane,26,"Boston, MA",Attorney,2,White,M,False,False,MA,USA
45,Austin Li Coon,26,"Chicago, IL",Grad Student,2,Asian-American,M,False,False,IL,USA
45,Dee Valladares,26,"Miami, FL",Entrepreneur,1,Latin American,F,False,False,FL,USA
46,David Jelinsky,22,"Las Vegas, NV",Slot Machine Salesman,18,White,M,False,False,NV,USA
46,Jess Chong,37,"San Francisco, CA",Software Engineer,17,Asian-Canadian,F,False,True,CA,USA
46,Randen Montalvo,41,"Orlando, FL",Aerospace Tech,16,Latin American,M,False,False,FL,USA
46,Bhanu Gopal,41,"Acton, MA",IT Quality Analyst,15,Asian-American,M,True,False,MA,USA
46,Jem Hussain-Adams,31,"Chicago, IL",International Brand Mentor,14,White,F,False,False,IL,USA
46,Moriah Gaynor,28,"San Diego, CA",Program Coordinator,13,White,F,True,False,CA,USA
46,Tim Spicer,31,"Atlanta, GA",College Coach,12,African-American,M,False,False,GA,USA
46,Soda Thompson,27,"Lake Hopatcong, NJ",Special Ed Teacher,11,African-American,F,False,False,NJ,USA
46,Tevin Davis,24,"Richmond, VA",Actor,10,African-American,M,True,False,VA,USA
46,Hunter McKnight,28,"French Camp, MS",Science Teacher,9,White,M,False,False,MS,USA
46,Tiffany Nicole Ervin,33,"Elizabeth, NJ",Artist,8,African-American,F,False,False,NJ,USA
46,Venus Vafa,24,"Toronto, ON (Canada)",Data Analyst,7,Asian-Canadian,F,False,False,ON,Canada
46,Q Burdette,29,"Memphis, TN",Real Estate Agent,6,African-American,M,False,False,TN,USA
46,Maria Shrime Gonzalez,48,"Dallas, TX",Parent Coach,5,Asian-American,F,False,False,TX,USA
46,Liz Wilcox,35,"Orlando, FL",Marketing Strategist,4,White,F,False,False,FL,USA
46,Ben Katzman,31,"Miami, FL",Musician,2,White,M,False,False,FL,USA
46,Charlie Davis,26,"Boston, MA",Law Student,2,White,M,False,False,MA,USA
46,Kenzie Petty,29,"Charlotte, NC",Salon Owner,1,White,F,True,False,NC,USA
47,Jon Lovett,42,"Los Angeles, CA",Podcast Host,18,White,M,True,False,CA,USA
47,TK Foster,31,"Upper Marlboro, MD",Athlete Marketing Manager,17,African-American,M,False,False,MD,USA
47,Aysha Welch,32,"Houston, TX",IT Consultant,16,African-American,F,False,False,TX,USA
47,Kishan Patel,28,"San Francisco, CA",ER Doctor,15,Asian-American,M,True,False,CA,USA
47,Anika Dhar,26,"Los Angeles, CA",Marketing Manager,14,Asian-American,F,False,False,CA,USA
47,Rome Cooney,30,"Phoenix, AZ",E-Sports Commentator,13,African-American,M,False,False,AZ,USA
47,Tiyana Hallums,27,"Aiea, HI",Flight Attendant,12,White,F,False,False,HI,USA
47,Sierra Wright,27,"Phoenixville, PA",Nurse,11,White,F,False,False,PA,USA
47,Sol Yi,43,"Norwalk, CT",Medical Device Sales,10,Asian-American,M,False,False,CT,USA
47,Gabe Ortis,26,"Baltimore, MD",Radio Host,9,Latin American,M,False,False,MD,USA
47,Kyle Ostwald,31,"Cheboygan, MI",Construction Worker,8,White,M,False,False,MI,USA
47,Caroline Vidmar,27,"Chicago, IL",Strategy Consultant,7,White,F,False,False,IL,USA
47,Andy Rueda,31,"Brooklyn, NY",AI Research Assistant,6,Asian-American,M,True,False,NY,USA
47,Genevieve Mushaluk,33,"Winnipeg, MB (Canada)",Corporate Lawyer,5,White,F,False,False,MB,Canada
47,Teeny Chirichillo,24,"Manahawkin, NJ",Freelance Writer,4,White,N,True,False,NJ,USA
47,Sue Smey,59,"Putnam Valley, NY",Flight School Owner,2,White,F,False,False,NY,USA
47,Sam Phalen,24,"Nashville, TN",Sports Reporter,2,White,M,False,False,TN,USA
47,Rachel LaMont,34,"Southfield, MI",Graphic Designer,1,Asian-American,F,False,False,MI,USA
48,Stephanie Berger,38,"Brooklyn, NY",Tech Product Lead,18,White,F,False,False,NY,USA
48,Kevin Leung,34,"Livermore, CA",Finance Manager,17,Asian-American,M,False,False,CA,USA
48,Justin Pioppi,29,"Winthrop, MA",Pizzeria Manager,16,White,M,False,False,MA,USA
48,Thomas Krottinger,34,"Los Angeles, CA",Music Executive,15,White,M,True,False,CA,USA
48,Bianca Roses,33,"Arlington, VA",PR Consultant,14,White,F,False,False,VA,USA
48,Shauhin Davari,38,"Costa Mesa, CA",Debate Professor,0,Asian-American,M,False,False,CA,USA
48,Eva Erickson,24,"Providence, RI",PhD Candidate,0,White,F,False,True,RI,USA
48,Kyle Fraser,31,"Brooklyn, NY",Attorney,0,African-American,M,False,False,NY,USA
48,Mitch Guerra,34,"Waco, TX",P.E. Coach,0,Latin American,M,False,True,TX,USA
48,Saiounia Hughley,30,"Simi Valley, CA",Marketing Professional,0,African-American,F,False,False,CA,USA
48,Joe Hunter,45,"Sacramento, CA",Fire Captain,0,White,M,False,False,CA,USA
48,Kamilla Karthigesu,31,"Foster City, CA",Software Engineer,0,Asian-Canadian,F,False,False,CA,USA
48,David Kinne,39,"Buena Park, CA",Stunt Performer,0,White,M,False,False,CA,USA
48,Cedrek McFadden,45,"Greenville, SC",Surgeon,0,African-American,M,False,False,SC,USA
48,Charity Nelms,34,"St. Petersburg, FL",Flight Attendant,0,White,F,False,False,FL,USA
48,Chrissy Sarnowsky,55,"Chicago, IL",Fire Lieutenant,0,White,F,False,False,IL,USA
48,Star Toomey,28,"Augusta, GA",Sales Expert,0,African-American,F,True,False,GA,USA
48,Mary Zheng,31,"Philadelphia, PA",Substance Abuse Counselor,0,Asian-American,F,False,False,PA,USA
